Name,NACA 63(3)-018
Chord(mm),1400
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
1400.000000,0.000000
1398.502000,0.084000
1394.008000,0.336000
1386.546000,0.742000
1376.144000,1.344000
1362.858000,2.198000
1346.716000,3.416000
1327.816000,5.152000
1306.214000,7.546000
1282.022000,10.654000
1255.352000,14.490000
1226.288000,19.026000
1194.970000,24.220000
1161.538000,30.086000
1126.132000,36.582000
1088.906000,43.638000
1050.000000,51.170000
1009.596000,59.024000
967.876000,67.102000
925.008000,75.222000
881.174000,83.258000
836.570000,91.028000
791.364000,98.406000
745.780000,105.210000
700.000000,111.286000
654.220000,116.494000
608.636000,120.680000
563.430000,123.746000
518.826000,125.566000
474.992000,126.098000
432.124000,125.370000
390.404000,123.480000
350.000000,120.554000
311.094000,116.704000
273.868000,111.986000
238.462000,106.498000
205.030000,100.352000
173.712000,93.632000
144.648000,86.394000
117.978000,78.680000
93.786000,70.574000
72.184000,62.188000
53.284000,53.662000
37.142000,44.996000
23.856000,35.854000
13.454000,26.054000
5.992000,16.296000
1.498000,7.546000
0.000000,0.000000
1.498000,-7.546000
5.992000,-16.296000
13.454000,-26.054000
23.856000,-35.854000
37.142000,-44.996000
53.284000,-53.662000
72.184000,-62.188000
93.786000,-70.574000
117.978000,-78.680000
144.648000,-86.394000
173.712000,-93.632000
205.030000,-100.352000
238.462000,-106.498000
273.868000,-111.986000
311.094000,-116.704000
350.000000,-120.554000
390.404000,-123.480000
432.124000,-125.370000
474.992000,-126.098000
518.826000,-125.566000
563.430000,-123.746000
608.636000,-120.680000
654.220000,-116.494000
700.000000,-111.286000
745.780000,-105.210000
791.364000,-98.406000
836.570000,-91.028000
881.174000,-83.258000
925.008000,-75.222000
967.876000,-67.102000
1009.596000,-59.024000
1050.000000,-51.170000
1088.906000,-43.638000
1126.132000,-36.582000
1161.538000,-30.086000
1194.970000,-24.220000
1226.288000,-19.026000
1255.352000,-14.490000
1282.022000,-10.654000
1306.214000,-7.546000
1327.816000,-5.152000
1346.716000,-3.416000
1362.858000,-2.198000
1376.144000,-1.344000
1386.546000,-0.742000
1394.008000,-0.336000
1398.502000,-0.084000
1400.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
1.498000,0.000000
5.992000,0.000000
13.454000,0.000000
23.856000,0.000000
37.142000,0.000000
53.284000,0.000000
72.184000,0.000000
93.786000,0.000000
117.978000,0.000000
144.648000,0.000000
173.712000,0.000000
205.030000,0.000000
238.462000,0.000000
273.868000,0.000000
311.094000,0.000000
350.000000,0.000000
390.404000,0.000000
432.124000,0.000000
474.992000,0.000000
518.826000,0.000000
563.430000,0.000000
608.636000,0.000000
654.220000,0.000000
700.000000,0.000000
745.780000,0.000000
791.364000,0.000000
836.570000,0.000000
881.174000,0.000000
925.008000,0.000000
967.876000,0.000000
1009.596000,0.000000
1050.000000,0.000000
1088.906000,0.000000
1126.132000,0.000000
1161.538000,0.000000
1194.970000,0.000000
1226.288000,0.000000
1255.352000,0.000000
1282.022000,0.000000
1306.214000,0.000000
1327.816000,0.000000
1346.716000,0.000000
1362.858000,0.000000
1376.144000,0.000000
1386.546000,0.000000
1394.008000,0.000000
1398.502000,0.000000
1400.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
1400.000000,0.000000
